audiourl,overall_evaluation(level: 1/2/3),ONE,DAY,A,CROW,STOOD,ON,A,BRANCH,NEAR,HIS,NEST,AND,FELT,VERY,HAPPY,WITH,THE,MEAT,IN,HIS,MOUTH.
https://mtutor.blob.core.windows.net/system-user-audio/20190324/3d8f51eb5e8044bcb06a59ae75f67b4d.mp3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190323/9c40e03474d24d478bbd9b83fd13eb7e.mp3,无效,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190323/463e7dde988843c78aac8b1330a1dc13.mp3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181020/9e3de3fda2fa4b5c85632b2e96d2bdf1.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180915/fb22a13e16464dda9996dd3fd3145eb1.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180724/f4ea7b1d82284b71a9d18ab169c356cc.mp3,无效,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190910/41d66b5067074eaba8f0792dc1379e77.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191201/794a358e581c4e80bbba5eba4be17e8f.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181031/1ca5243501724e8eafa54ad0b344dd6f.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181030/3fc6344c8d634be48669432e5f1f0313.mp3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181014/2060882fe6344d508cf8fc022e62d882.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191030/28ccd08d26a246b39700fdc0f0c22014.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191030/bd2ba79cc2b9402591d18e80a7656ea5.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180706/83c579a40e61473898cead96cd8a6110.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190610/c0cfdb0087d14b48a9c0c7c682bea7e3.mp3,无效,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190610/ea9077f392a74b3f9409105cd6375c30.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190610/f449596470324cd7b0b2fda54a121444.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190610/fd2a40a442b9499fa19dc8bde836db62.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191225/3dfafc5630494457b1769391986a77fb.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190415/3f1f5949d7fc45478a864c6e73fab2b2.mp3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190307/5995596de5a94cdfa389c515aafac141.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181020/0f484f38efca4117a1641d9494e909ad.mp3,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20180719/77b7d7df6ad84e368720a7ec934b05cd.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180928/b70b15cb71d84681bc5952daabcdc0a0.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190615/3556d7b8e3e34a6e93b3b037b4c5b78b.mp3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20180701/e70695af72c54f57a407b8510dd9d51c.mp3,音频无效,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180627/b50fb9408a524ec0b40108f8b8dac936.mp3,音频无效,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190904/9565705104b94391a49596a822eb10a7.mp3,无效,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190904/b2f0543e87fb4e93bd0fb991a0e97e55.mp3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190904/c52c03d3c9e54e389875e7361262cd25.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180822/9885aa626aea4c9ab5e2c20d5ed4491d.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190922/78ec43ee88a44b55b532ecde04fba04c.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180702/0d65add090cd4e23b5da3a4fb411302f.mp3,音频无效,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180822/933b04db729b4e4295342852ff3ac8a4.mp3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190113/38b35d50f44a4dd7bf95fe7872ecbac4.mp3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20180810/ef6a59ae0a6247469388975945fa69b1.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180812/233c692172fd48e68031089eb8d07b3a.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190422/adabc8ee8726438b855cf3abaa841caa.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180502/9f1e6be20f6e4937a3e37e2a0ff6fe23.mp3,音频无效,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180502/a192224de2cb45e7bb6c9bced1963ee1.mp3,音频无效,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180610/76d4ce6198154bad8e627746c72f36a1.mp3,音频无效,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180524/0698fd6695ba4053b5297d4a3ba23e24.mp3,音频无效,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180811/6a67ebeacb974fd6a9f4a0748d1aae1e.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180717/826cd56c4ace4740b536e568ba662d39.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181111/8575041b32d64022837e9681a1a944ab.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180825/c1da93f99f8a4c04b1e6d7e845e10ccf.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181011/849311a69610410896462223b88b4363.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190107/5787e19ea453479294910e9aef4ecec3.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190728/ca722b92067b4bce938b7a6494106a0a.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190305/0c62484b9059483a8602b0e4a8a6bbed.mp3,无效,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190915/f98849b164b64b3da9906c3fb673207d.mp3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190321/22ca3806316044fa931912b7a588d2b6.mp3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20180705/3d4857e8e421436b98349b53037e3b61.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180817/a877efb33cbf4a3da60e593b8dd8af6f.mp3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180911/56b1fff02a284440b5c9c987ebc32668.mp3,2,3,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20180708/0bc2161d871443218828fbeb127dd0a5.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180518/59d06c32c49742c196b7971addde39af.mp3,音频无效,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190425/c98f0eff7a964f08a3503e0cb4b5cace.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190309/e23157eebf0b44ceb322b54214107bd0.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181015/dbb9777dc4124c09b4456e4bf60162ab.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180907/b928c5a51c884e7692cd5a0dd108ac94.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191118/0cff13aa6bad42648a79a0330f8ea0ab.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180515/6654315f879b4e04ac4498c41c043de6.mp3,音频无效,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20181028/1287f5d79d7542d68dc3b4a1eef3f5da.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190115/cd4615635bb64e92acb8b34f79b5fd14.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190115/190971a938a94ef79025597d891747e3.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190808/73ff404eede845f6a9f9e6f3f0e52bdb.mp3,2,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190427/637a820df51d4512b48bf2f89f6273c2.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190318/ba2e5806aa62481ea28f534f82c43ca1.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190401/c64c33163cb54791b775aee3119524ad.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180816/2c5e2064387a499490df40a722bf56c3.mp3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20180928/58a45b1a3e934a9c9dd905be4f0b1691.mp3,1,2,2,2,1,1,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190320/0c1f12704e8746f48de738651373aa67.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190329/da827e8ae0194393aa28a0358c70648f.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191124/8e2e6e12a6484bae9e20a6e97e162928.mp3,无效,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180502/f801b11715344b0fa0ae2bda0c37d442.mp3,音频无效,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190730/78447b0000704756a33240f9b754c679.mp3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190730/7c4e834ddc484364ae28def5dc60e7b7.mp3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181009/96b973e182924c51bf61aaab8d51364e.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190308/3267d9f0a0894ff395a34f5d9f545679.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190331/c653154f06bb47a4979c852393415786.mp3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190302/d5c5f1ac04a94327a0fe847aa10a55c8.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180818/7ecdcef84dbb4d8fa31d78b5af878db9.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181125/fce93cfcc443407aba6b5cbae2533ae7.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181230/7063541220b443128fc060298ed50a84.mp3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190917/44af6ceb7fac41868d9030ce1387b82d.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190917/0a86d1db01cb4b4d8874623a5c80743f.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190409/45a20346414d47e08ced6fb5496c09f1.mp3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180718/c53ffb073c404c9f8891fd9efb09fe27.mp3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181010/616400f0d1bd487499598fe9d4f4e259.mp3,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181202/0b5513570eb54e95b31d12c245ad836b.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180629/98a9b8cec498489bb65488bcb0245cdc.mp3,音频无效,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180701/fd181f3bdf6342c58a281f8a8711eccd.mp3,音频无效,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180803/c76363f0dc9a41ad8db764655d3d2d45.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191023/a36655cccf954a188867744e2cb814ba.mp3,无效,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20191023/23f1d72042234b40bf21cb27b28fff4a.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180611/7daa12afb97a452d89af06458b83f572.mp3,音频无效,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180609/ba7fcf83a99e4e9dade4e22cc3f370bb.mp3,音频无效,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190206/3ec0fe43f0d74682840135181dc4b769.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191205/a74e5896bffa43988d721e0b322be832.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
