audiourl,overall_evaluation(level: 1/2/3),THERE,WAS,ONCE,A,POOR,"BOY,",AND,HE,WATCHED,HIS,SHEEP,IN,THE,FIELDS,NEXT,TO,A,DARK,FOREST.
https://mtutor.blob.core.windows.net/system-user-audio/20180708/dc2d285146a84699a5e69403d56c367a.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180510/c969c20d2d164ddabf5a79d3438fa4d6.mp3,音频无效,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180630/d742d48e5e2f4362a2769910ac384813.mp3,音频无效,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180615/337c705025794dc992ecfea866365375.mp3,音频无效,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190309/0dfb132cc3524574851d1456c34dd4a2.mp3,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20190309/9452ef507fb54b2a8a6f82d1911376b2.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180917/bc4d908e7e104170a31d930add304857.mp3,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,3,3,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20180917/9093443bcb3c4cb58e8f408cac828712.mp3,1,3,3,3,3,3,3,3,2,3,3,1,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190226/cd824b1ac319456a95fa3bc6bc2a541b.mp3,1,3,3,1,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190308/258895e12493464bac12142c40141829.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180822/e4f5eb396d9340c99d557ae7e2d7d6be.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190820/196a25dda4c24bc4af8d6fd5f47f61b9.mp3,1,3,3,3,3,1,3,3,3,3,3,3,3,3,1,3,3,1,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20200106/ba1c0116e24144fc8c014fd6fd320069.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180801/f240cffce3ce416f89a6fa300c76f08b.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180822/f9352a79ae3845fa82c87a9e4655aa11.mp3,1,3,3,3,3,3,3,3,3,1,1,3,3,1,3,3,3,3,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20191216/025b4f23db594174843ad90a4e30e788.mp3,无效,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190920/14f8d133c64442c19e9fa1ea14f75d89.mp3,1,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20180812/5e6a300041504854a323042098eae7f3.mp3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180710/b9cec23172ed4b48b1e366aed6383b81.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190126/46cd2f8c379049779f6800f868d4566e.mp3,1,3,3,3,3,1,3,3,3,1,3,3,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180627/a70a9f92d1ec42c085c2fa86b3bc88f8.mp3,音频无效,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190622/27511bc4599542998f0864c1d426eb48.mp3,1,3,1,3,3,3,3,3,3,3,1,3,3,3,3,1,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190325/22aafb40737b485e8edec3ae931aab85.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181208/37efd136dac74c2cb51072857eac2a27.mp3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180619/80b142b845bc461f94523e0bf77fb7c8.mp3,音频无效,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180522/485185caffc348f29f37ddb6e5316f9d.mp3,音频无效,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190825/41e5baa8d1904d758da33db7f61a79a9.mp3,1,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180805/7e4a3e659c21425aa5d8cf6768c5f3dd.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181218/4f5f02bcd7174db5b8903d967bd5c5f1.mp3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181209/aa34374496994a669ef85506b123de62.mp3,1,3,3,3,3,1,3,3,1,3,3,3,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181209/6bae1fce9e9942e69fd6cc5fe47003e3.mp3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20181001/22d008136a5a4a759993a190452f2256.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181010/9f66310abe57485aaa639071052f778e.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180502/a333fd86ec9f413e80a289b004649e99.mp3,音频无效,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20181208/dfd5515d143e4eed9303311f2d088435.mp3,无效,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190812/84172d025aed433b900b3b9169b94f8d.mp3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190415/ecfc48326d424faba4242a275dc87ccb.mp3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181225/2f375405bca34965930ad04a19060c7a.mp3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190417/fa074b9309b243d69a69ac6682a0f061.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191221/60aca1af9dde4907b79ca655c1f6841f.mp3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190425/f7ffc4f39d4b4d9ab1f58673df63b02e.mp3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190208/d152e2947a7b4bb396fc09325a092044.mp3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20190608/477136b19bb54f268778be0c9cafd710.mp3,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190525/00d1867aad7044b3bba3f3801130d351.mp3,1,3,3,1,3,3,3,3,3,3,1,3,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180620/a811a481cfff4caa81a0778ab8a4d97e.mp3,音频无效,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190818/eb07f1bec54d4a1faf07f06acd5fe5b7.mp3,1,3,3,1,3,3,3,3,3,3,1,1,3,3,1,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190102/6466763178ad476b8c8a1966603d2620.mp3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180505/5e81c8e40d9c4558b0e3c076b5dd252c.mp3,音频无效,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190727/dd90b2cc6c7b455bacb5a1077be3c915.mp3,1,3,3,3,3,1,3,3,3,3,3,2,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp3,音频无效,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp4,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp5,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp6,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp7,3,3,3,3,3,3,2,3,3,3,3,2,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp8,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp9,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp10,1,3,3,3,3,3,3,3,3,3,3,3,/,/,/,/,/,/,/,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp11,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp12,3,3,3,3,2,,2,3,3,3,3,2,2,3,3,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp13,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp14,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp15,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp16,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp17,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp18,音频无效,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp19,音频无效,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp20,音频无效,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp21,音频无效,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp22,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp23,1,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp24,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp25,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp26,2,3,3,3,3,3,3,3,3,2,2,/,/,/,/,/,/,/,/,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp27,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp28,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp29,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp30,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp31,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp32,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp33,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp34,1,3,3,3,3,3,3,3,3,/,/,/,/,/,/,/,/,/,/,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp35,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp36,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp37,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp38,无效,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp39,无效,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp40,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp41,音频无效,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp42,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp43,1,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp44,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp45,3,2,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp46,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp47,2,2,3,3,3,3,3,3,3,/,/,/,/,/,/,/,/,/,/,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp48,1,3,3,3,3,3,3,3,3,3,3,1,3,3,1,1,1,1,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp49,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp50,音频无效,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp51,音频无效,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp52,音频无效,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180622/d33a9425cac34333a1348213edd357fe.mp53,音频无效,,,,,,,,,,,,,,,,,,,/
